nohup: ignoring input
2026-07-22 16:32:20,028 [INFO] captain.algorithms.evolution_train: Initialized sequential trainer with 32 perturbations, 241 parameters
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/quinteroossa/.netrc.
wandb: Currently logged in as: quinteroossa to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 7bw7edd0
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/quinteroossa/captain/wandb/run-20260722_163220-7bw7edd0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run es_baseline_full
wandb: ⭐️ View project at https://wandb.ai/quinteroossa/captain-dissertation
wandb: 🚀 View run at https://wandb.ai/quinteroossa/captain-dissertation/runs/7bw7edd0
2026-07-22 16:32:21,831 [INFO] captain.algorithms.evolution_train: Loaded calibration for: ['extinction_risk', 'cost']
2026-07-22 16:32:21,832 [INFO] captain.agents.reward_aggregator: New reward calibration weights: tensor([1.4827, 0.0659], dtype=torch.float64)
2026-07-22 16:32:21,833 [INFO] captain.algorithms.evolution_train: Directly calibrated 32 runners in main process.
============================================================
CAPTAIN — ES Training  |  run: es_baseline_full
============================================================
  Device     : cuda
  Data       : /home/quinteroossa/captain_data/captain3data
  Results    : results/es_baseline_full
  Subset     : False
  Epochs     : 500
  Grid       : 58315 cells, 583 species
  Features   : 13
  Parameters : 241

Using existing reward calibration: results/es_baseline_full/reward_calibration.json

Reward calibration multipliers:
  extinction_risk: 1.4827
  cost: 0.0659

Training for 500 epochs...
------------------------------------------------------------
Epoch    0 | reward:    -5.23 | running:    -5.23 | jaccard:     0.27 | time: 109.9s
Epoch    1 | reward:    -2.51 | running:    -3.87 | jaccard:     0.83 | time: 109.9s
Epoch    2 | reward:    -2.35 | running:    -3.11 | jaccard:     0.69 | time: 109.9s
Epoch    3 | reward:    -2.19 | running:    -2.65 | jaccard:     0.78 | time: 109.8s
Epoch    4 | reward:    -2.05 | running:    -2.35 | jaccard:     0.65 | time: 109.9s
Epoch    5 | reward:    -1.93 | running:    -2.14 | jaccard:     0.69 | time: 109.8s
Epoch    6 | reward:    -1.75 | running:    -1.94 | jaccard:     0.72 | time: 109.9s
Epoch    7 | reward:    -1.62 | running:    -1.78 | jaccard:     0.62 | time: 109.8s
Epoch    8 | reward:    -1.51 | running:    -1.65 | jaccard:     0.75 | time: 109.9s
Epoch    9 | reward:    -1.48 | running:    -1.56 | jaccard:     0.76 | time: 109.8s
Epoch   10 | reward:    -1.47 | running:    -1.52 | jaccard:     0.77 | time: 109.8s
Epoch   11 | reward:    -1.47 | running:    -1.49 | jaccard:     0.73 | time: 109.9s
Epoch   12 | reward:    -1.42 | running:    -1.45 | jaccard:     0.74 | time: 109.9s
Epoch   13 | reward:    -1.42 | running:    -1.44 | jaccard:     0.72 | time: 109.8s
Epoch   14 | reward:    -1.40 | running:    -1.42 | jaccard:     0.79 | time: 109.8s
Epoch   15 | reward:    -1.38 | running:    -1.40 | jaccard:     0.79 | time: 109.8s
Epoch   16 | reward:    -1.38 | running:    -1.39 | jaccard:     0.80 | time: 109.8s
Epoch   17 | reward:    -1.38 | running:    -1.38 | jaccard:     0.79 | time: 109.8s
Epoch   18 | reward:    -1.38 | running:    -1.38 | jaccard:     0.76 | time: 109.8s
Epoch   19 | reward:    -1.36 | running:    -1.37 | jaccard:     0.88 | time: 109.8s
Epoch   20 | reward:    -1.35 | running:    -1.36 | jaccard:     0.81 | time: 109.8s
Epoch   21 | reward:    -1.39 | running:    -1.38 | jaccard:     0.77 | time: 109.8s
Epoch   22 | reward:    -1.36 | running:    -1.37 | jaccard:     0.82 | time: 109.8s
Epoch   23 | reward:    -1.38 | running:    -1.38 | jaccard:     0.76 | time: 109.8s
Epoch   24 | reward:    -1.36 | running:    -1.37 | jaccard:     0.84 | time: 109.8s
Epoch   25 | reward:    -1.38 | running:    -1.38 | jaccard:     0.74 | time: 109.8s
Epoch   26 | reward:    -1.37 | running:    -1.37 | jaccard:     0.73 | time: 109.8s
Epoch   27 | reward:    -1.34 | running:    -1.36 | jaccard:     0.79 | time: 109.8s
Epoch   28 | reward:    -1.36 | running:    -1.36 | jaccard:     0.76 | time: 109.8s
Epoch   29 | reward:    -1.33 | running:    -1.35 | jaccard:     0.85 | time: 109.8s
Epoch   30 | reward:    -1.33 | running:    -1.34 | jaccard:     0.85 | time: 109.8s
Epoch   31 | reward:    -1.37 | running:    -1.35 | jaccard:     0.83 | time: 109.8s
