
Training for 500 epochs...
------------------------------------------------------------
Epoch    0 | reward:    -7.06 | running:    -7.06 | jaccard:     0.30 | time: 5.4s
Epoch    1 | reward:    -2.59 | running:    -4.83 | jaccard:     0.82 | time: 5.3s
Epoch    2 | reward:    -2.05 | running:    -3.44 | jaccard:     0.68 | time: 5.4s
Epoch    3 | reward:    -1.90 | running:    -2.67 | jaccard:     0.60 | time: 5.4s
Epoch    4 | reward:    -1.95 | running:    -2.31 | jaccard:     0.49 | time: 5.4s
Epoch    5 | reward:    -1.97 | running:    -2.14 | jaccard:     0.73 | time: 5.4s
Epoch    6 | reward:    -1.38 | running:    -1.76 | jaccard:     0.73 | time: 5.4s
Epoch    7 | reward:    -1.61 | running:    -1.68 | jaccard:     0.74 | time: 5.4s
Epoch    8 | reward:    -2.44 | running:    -2.06 | jaccard:     0.89 | time: 5.4s
Epoch    9 | reward:    -2.12 | running:    -2.09 | jaccard:     0.87 | time: 5.4s
Epoch   10 | reward:    -0.98 | running:    -1.54 | jaccard:     0.80 | time: 5.4s
Epoch   11 | reward:    -0.90 | running:    -1.22 | jaccard:     0.80 | time: 5.4s
Epoch   12 | reward:    -0.93 | running:    -1.07 | jaccard:     0.81 | time: 5.4s
Epoch   13 | reward:    -1.05 | running:    -1.06 | jaccard:     0.81 | time: 5.4s
Epoch   14 | reward:    -0.78 | running:    -0.92 | jaccard:     0.79 | time: 5.4s
Epoch   15 | reward:    -1.06 | running:    -0.99 | jaccard:     0.69 | time: 5.4s
Epoch   16 | reward:    -1.64 | running:    -1.32 | jaccard:     0.87 | time: 5.4s
Epoch   17 | reward:    -1.15 | running:    -1.23 | jaccard:     0.71 | time: 5.4s
Epoch   18 | reward:    -1.21 | running:    -1.22 | jaccard:     0.76 | time: 5.4s
Epoch   19 | reward:    -0.96 | running:    -1.09 | jaccard:     0.77 | time: 5.4s
Epoch   20 | reward:    -1.14 | running:    -1.11 | jaccard:     0.77 | time: 5.4s
Epoch   21 | reward:    -0.92 | running:    -1.02 | jaccard:     0.68 | time: 5.4s
Epoch   22 | reward:    -0.82 | running:    -0.92 | jaccard:     0.70 | time: 5.4s
Epoch   23 | reward:    -0.63 | running:    -0.77 | jaccard:     0.86 | time: 5.4s
Epoch   24 | reward:    -1.06 | running:    -0.92 | jaccard:     0.90 | time: 5.4s
Epoch   25 | reward:    -0.98 | running:    -0.95 | jaccard:     0.80 | time: 5.4s
Epoch   26 | reward:    -0.88 | running:    -0.92 | jaccard:     0.78 | time: 5.4s
Epoch   27 | reward:    -0.77 | running:    -0.85 | jaccard:     0.79 | time: 5.4s
Epoch   28 | reward:    -0.67 | running:    -0.76 | jaccard:     0.83 | time: 5.4s
Epoch   29 | reward:    -0.62 | running:    -0.69 | jaccard:     0.85 | time: 5.5s
Epoch   30 | reward:    -0.62 | running:    -0.65 | jaccard:     0.85 | time: 5.5s
Epoch   31 | reward:    -0.58 | running:    -0.62 | jaccard:     0.85 | time: 5.4s
Epoch   32 | reward:    -0.62 | running:    -0.62 | jaccard:     0.82 | time: 5.5s
