
Training for 500 epochs...
------------------------------------------------------------
Epoch    0 | reward:    -5.96 | running:    -5.96 | jaccard:     0.27 | time: 51.1s
Epoch    1 | reward:    -2.39 | running:    -4.17 | jaccard:     0.72 | time: 51.1s
Epoch    2 | reward:    -1.79 | running:    -2.98 | jaccard:     0.79 | time: 51.2s
Epoch    3 | reward:    -1.78 | running:    -2.38 | jaccard:     0.78 | time: 51.2s
Epoch    4 | reward:    -1.81 | running:    -2.10 | jaccard:     0.73 | time: 51.3s
Epoch    5 | reward:    -1.39 | running:    -1.74 | jaccard:     0.73 | time: 51.2s
Epoch    6 | reward:    -1.27 | running:    -1.50 | jaccard:     0.73 | time: 51.3s
Epoch    7 | reward:    -1.03 | running:    -1.27 | jaccard:     0.65 | time: 51.3s
Epoch    8 | reward:    -1.19 | running:    -1.23 | jaccard:     0.73 | time: 51.3s
Epoch    9 | reward:    -1.18 | running:    -1.21 | jaccard:     0.66 | time: 51.1s
Epoch   10 | reward:    -1.73 | running:    -1.47 | jaccard:     0.80 | time: 51.1s
Epoch   11 | reward:    -1.48 | running:    -1.47 | jaccard:     0.75 | time: 51.1s
Epoch   12 | reward:    -1.21 | running:    -1.34 | jaccard:     0.65 | time: 51.1s
Epoch   13 | reward:    -1.72 | running:    -1.53 | jaccard:     0.67 | time: 51.1s
Epoch   14 | reward:    -2.27 | running:    -1.90 | jaccard:     0.81 | time: 51.1s
Epoch   15 | reward:    -1.67 | running:    -1.78 | jaccard:     0.82 | time: 51.1s
Epoch   16 | reward:    -1.65 | running:    -1.72 | jaccard:     0.86 | time: 51.1s
Epoch   17 | reward:    -1.62 | running:    -1.67 | jaccard:     0.84 | time: 51.0s
Epoch   18 | reward:    -1.59 | running:    -1.63 | jaccard:     0.84 | time: 50.9s
Epoch   19 | reward:    -1.57 | running:    -1.60 | jaccard:     0.83 | time: 50.9s
Epoch   20 | reward:    -1.51 | running:    -1.56 | jaccard:     0.83 | time: 50.8s
Epoch   21 | reward:    -1.58 | running:    -1.57 | jaccard:     0.84 | time: 50.9s
Epoch   22 | reward:    -1.47 | running:    -1.52 | jaccard:     0.82 | time: 51.1s
Epoch   23 | reward:    -1.57 | running:    -1.55 | jaccard:     0.74 | time: 51.0s
Epoch   24 | reward:    -1.43 | running:    -1.49 | jaccard:     0.72 | time: 51.1s
Epoch   25 | reward:    -1.41 | running:    -1.45 | jaccard:     0.70 | time: 51.0s
Epoch   26 | reward:    -1.33 | running:    -1.39 | jaccard:     0.79 | time: 51.1s
Epoch   27 | reward:    -1.32 | running:    -1.35 | jaccard:     0.57 | time: 51.0s
