
Training for 500 updates...
------------------------------------------------------------
Update    0 | reward:  -6.090 | pl: 0.1826 | vf: 2.4843 | ent: 10.959 | time: 16.6s
Update    1 | reward:  -5.476 | pl: 0.1934 | vf: 2.5529 | ent: 10.961 | time: 16.6s
Update    2 | reward:  -6.045 | pl: 0.2302 | vf: 2.6114 | ent: 10.962 | time: 16.5s
Update    3 | reward:  -4.582 | pl: 0.2170 | vf: 2.0643 | ent: 10.961 | time: 16.4s
Update    4 | reward:  -6.143 | pl: 0.2232 | vf: 2.3239 | ent: 10.962 | time: 16.4s
Update    5 | reward:  -4.823 | pl: 0.2047 | vf: 2.0541 | ent: 10.961 | time: 16.4s
Update    6 | reward:  -5.855 | pl: 0.2495 | vf: 2.5775 | ent: 10.962 | time: 16.4s
Update    7 | reward:  -4.114 | pl: 0.2345 | vf: 1.9254 | ent: 10.960 | time: 16.5s
Update    8 | reward:  -5.748 | pl: 0.2293 | vf: 2.0238 | ent: 10.961 | time: 16.5s
Update    9 | reward:  -6.219 | pl: 0.2292 | vf: 2.1804 | ent: 10.961 | time: 16.4s
Update   10 | reward:  -5.079 | pl: 0.2377 | vf: 1.8768 | ent: 10.963 | time: 16.4s
Update   11 | reward:  -6.071 | pl: 0.2307 | vf: 2.9875 | ent: 10.964 | time: 16.5s
Update   12 | reward:  -4.764 | pl: 0.2353 | vf: 2.1085 | ent: 10.964 | time: 16.4s
Update   13 | reward:  -6.020 | pl: 0.2315 | vf: 2.1912 | ent: 10.963 | time: 16.4s
Update   14 | reward:  -4.417 | pl: 0.2249 | vf: 1.8790 | ent: 10.961 | time: 16.3s
Update   15 | reward:  -5.652 | pl: 0.2276 | vf: 2.5158 | ent: 10.961 | time: 16.3s
Update   16 | reward:  -4.080 | pl: 0.2178 | vf: 2.2483 | ent: 10.961 | time: 16.4s
Update   17 | reward:  -5.618 | pl: 0.2203 | vf: 2.2519 | ent: 10.960 | time: 16.3s
Update   18 | reward:  -5.864 | pl: 0.2005 | vf: 2.7444 | ent: 10.959 | time: 16.2s
Update   19 | reward:  -5.401 | pl: 0.2077 | vf: 2.1419 | ent: 10.957 | time: 16.2s
Update   20 | reward:  -6.058 | pl: 0.1869 | vf: 3.1677 | ent: 10.956 | time: 16.2s
Update   21 | reward:  -4.136 | pl: 0.2065 | vf: 2.5266 | ent: 10.955 | time: 16.2s
Update   22 | reward:  -5.399 | pl: 0.1840 | vf: 2.9087 | ent: 10.957 | time: 16.2s
Update   23 | reward:  -4.139 | pl: 0.1849 | vf: 1.9353 | ent: 10.957 | time: 16.2s
Update   24 | reward:  -5.941 | pl: 0.1892 | vf: 2.3447 | ent: 10.955 | time: 16.2s
Update   25 | reward:  -6.244 | pl: 0.1658 | vf: 2.1897 | ent: 10.955 | time: 16.3s
Update   26 | reward:  -5.541 | pl: 0.1708 | vf: 2.2660 | ent: 10.954 | time: 16.2s
Update   27 | reward:  -5.785 | pl: 0.1487 | vf: 2.5298 | ent: 10.953 | time: 16.2s
Update   28 | reward:  -4.947 | pl: 0.1598 | vf: 1.9682 | ent: 10.953 | time: 16.2s
Update   29 | reward:  -6.095 | pl: 0.1428 | vf: 2.1416 | ent: 10.953 | time: 16.2s
Update   30 | reward:  -4.557 | pl: 0.1491 | vf: 1.6336 | ent: 10.954 | time: 16.2s
Update   31 | reward:  -5.654 | pl: 0.1331 | vf: 2.1169 | ent: 10.953 | time: 16.2s
Update   32 | reward:  -4.674 | pl: 0.1361 | vf: 1.8084 | ent: 10.953 | time: 16.2s
Update   33 | reward:  -5.619 | pl: 0.1383 | vf: 2.0711 | ent: 10.952 | time: 16.2s
Update   34 | reward:  -6.181 | pl: 0.1134 | vf: 1.6658 | ent: 10.953 | time: 16.2s
Update   35 | reward:  -5.131 | pl: 0.1291 | vf: 1.7916 | ent: 10.953 | time: 16.1s
Update   36 | reward:  -5.998 | pl: 0.1088 | vf: 2.1121 | ent: 10.953 | time: 16.6s
Update   37 | reward:  -4.644 | pl: 0.1217 | vf: 1.6451 | ent: 10.951 | time: 16.2s
Update   38 | reward:  -6.035 | pl: 0.1061 | vf: 1.4312 | ent: 10.951 | time: 16.1s
Update   39 | reward:  -4.530 | pl: 0.1176 | vf: 1.5398 | ent: 10.951 | time: 16.1s
Update   40 | reward:  -5.706 | pl: 0.0977 | vf: 1.3518 | ent: 10.951 | time: 16.1s
Update   41 | reward:  -4.198 | pl: 0.1024 | vf: 1.4703 | ent: 10.952 | time: 16.2s
Update   42 | reward:  -5.419 | pl: 0.1071 | vf: 1.3195 | ent: 10.951 | time: 16.1s
Update   43 | reward:  -6.004 | pl: 0.0914 | vf: 1.2979 | ent: 10.950 | time: 16.1s
Update   44 | reward:  -5.051 | pl: 0.0995 | vf: 1.4641 | ent: 10.948 | time: 16.1s
Update   45 | reward:  -5.214 | pl: 0.0835 | vf: 1.7838 | ent: 10.948 | time: 16.1s
Update   46 | reward:  -4.778 | pl: 0.0912 | vf: 1.0016 | ent: 10.947 | time: 16.1s
Update   47 | reward:  -5.474 | pl: 0.0767 | vf: 1.1511 | ent: 10.948 | time: 16.2s
Update   48 | reward:  -4.275 | pl: 0.0852 | vf: 1.0047 | ent: 10.948 | time: 16.1s
Update   49 | reward:  -5.736 | pl: 0.0848 | vf: 1.1377 | ent: 10.947 | time: 16.1s
Update   50 | reward:  -6.010 | pl: 0.0704 | vf: 0.6710 | ent: 10.947 | time: 16.2s
Update   51 | reward:  -5.430 | pl: 0.0772 | vf: 0.8053 | ent: 10.946 | time: 16.1s
Update   52 | reward:  -6.415 | pl: 0.0559 | vf: 0.6458 | ent: 10.947 | time: 16.1s
Update   53 | reward:  -4.655 | pl: 0.0779 | vf: 0.9044 | ent: 10.947 | time: 16.1s
Update   54 | reward:  -6.190 | pl: 0.0563 | vf: 0.8326 | ent: 10.946 | time: 16.1s
Update   55 | reward:  -4.843 | pl: 0.0598 | vf: 0.7029 | ent: 10.946 | time: 16.1s
Update   56 | reward:  -5.609 | pl: 0.0509 | vf: 0.7729 | ent: 10.944 | time: 16.1s
Update   57 | reward:  -4.488 | pl: 0.0601 | vf: 0.6473 | ent: 10.940 | time: 16.2s
Update   58 | reward:  -5.352 | pl: 0.0692 | vf: 0.6969 | ent: 10.942 | time: 16.1s
Update   59 | reward:  -5.886 | pl: 0.0506 | vf: 0.6244 | ent: 10.944 | time: 16.1s
Update   60 | reward:  -4.938 | pl: 0.0633 | vf: 0.8961 | ent: 10.944 | time: 16.1s
Update   61 | reward:  -5.843 | pl: 0.0530 | vf: 0.6521 | ent: 10.944 | time: 16.1s
Update   62 | reward:  -5.072 | pl: 0.0526 | vf: 0.4367 | ent: 10.942 | time: 16.2s
Update   63 | reward:  -5.572 | pl: 0.0498 | vf: 0.7126 | ent: 10.943 | time: 16.1s
Update   64 | reward:  -4.938 | pl: 0.0519 | vf: 0.5986 | ent: 10.941 | time: 16.1s
Update   65 | reward:  -5.818 | pl: 0.0415 | vf: 0.5222 | ent: 10.940 | time: 16.1s
Update   66 | reward:  -4.448 | pl: 0.0442 | vf: 0.4433 | ent: 10.938 | time: 16.1s
Update   67 | reward:  -5.637 | pl: 0.0528 | vf: 0.6312 | ent: 10.940 | time: 16.3s
Update   68 | reward:  -5.755 | pl: 0.0426 | vf: 0.3680 | ent: 10.939 | time: 16.1s
Update   69 | reward:  -5.299 | pl: 0.0399 | vf: 0.3694 | ent: 10.937 | time: 16.1s
Update   70 | reward:  -6.398 | pl: 0.0410 | vf: 0.5966 | ent: 10.938 | time: 16.2s
Update   71 | reward:  -5.051 | pl: 0.0296 | vf: 0.4424 | ent: 10.932 | time: 16.1s
Update   72 | reward:  -5.957 | pl: 0.0342 | vf: 0.6162 | ent: 10.931 | time: 16.1s
Update   73 | reward:  -4.393 | pl: 0.0466 | vf: 0.5381 | ent: 10.928 | time: 15.9s
Update   74 | reward:  -5.609 | pl: 0.0442 | vf: 0.6196 | ent: 10.929 | time: 15.9s
Update   75 | reward:  -6.355 | pl: 0.0180 | vf: 0.2411 | ent: 10.928 | time: 16.0s
Update   76 | reward:  -5.576 | pl: 0.0427 | vf: 0.4307 | ent: 10.928 | time: 15.9s
Update   77 | reward:  -6.678 | pl: 0.0259 | vf: 0.3595 | ent: 10.927 | time: 15.9s
Update   78 | reward:  -4.985 | pl: 0.0420 | vf: 0.4952 | ent: 10.924 | time: 15.9s
Update   79 | reward:  -6.682 | pl: 0.0249 | vf: 0.3793 | ent: 10.929 | time: 15.9s
Update   80 | reward:  -5.009 | pl: 0.0262 | vf: 0.2882 | ent: 10.924 | time: 15.8s
Update   81 | reward:  -6.114 | pl: 0.0302 | vf: 0.3316 | ent: 10.929 | time: 15.8s
Update   82 | reward:  -5.325 | pl: 0.0205 | vf: 0.3260 | ent: 10.919 | time: 15.9s
Update   83 | reward:  -5.884 | pl: 0.0385 | vf: 0.4111 | ent: 10.923 | time: 15.8s
Update   84 | reward:  -6.430 | pl: 0.0275 | vf: 0.2356 | ent: 10.921 | time: 15.8s
Update   85 | reward:  -5.885 | pl: 0.0244 | vf: 0.3348 | ent: 10.925 | time: 15.9s
Update   86 | reward:  -5.796 | pl: 0.0318 | vf: 0.4808 | ent: 10.927 | time: 15.8s
Update   87 | reward:  -5.390 | pl: 0.0233 | vf: 0.3844 | ent: 10.931 | time: 15.9s
Update   88 | reward:  -6.055 | pl: 0.0281 | vf: 0.3955 | ent: 10.935 | time: 15.8s
Update   89 | reward:  -4.775 | pl: 0.0197 | vf: 0.5985 | ent: 10.934 | time: 15.9s
Update   90 | reward:  -5.675 | pl: 0.0315 | vf: 0.4305 | ent: 10.938 | time: 15.8s
Update   91 | reward:  -4.511 | pl: 0.0181 | vf: 0.2682 | ent: 10.936 | time: 15.8s
Update   92 | reward:  -5.218 | pl: 0.0290 | vf: 0.3773 | ent: 10.938 | time: 15.8s
Update   93 | reward:  -6.263 | pl: 0.0099 | vf: 0.2763 | ent: 10.937 | time: 15.8s
Update   94 | reward:  -5.316 | pl: 0.0124 | vf: 0.3043 | ent: 10.934 | time: 15.8s
Update   95 | reward:  -6.198 | pl: 0.0108 | vf: 0.3413 | ent: 10.934 | time: 15.8s
Update   96 | reward:  -4.688 | pl: 0.0219 | vf: 0.4049 | ent: 10.931 | time: 15.8s
Update   97 | reward:  -5.560 | pl: 0.0243 | vf: 0.4882 | ent: 10.931 | time: 15.9s
Update   98 | reward:  -4.818 | pl: 0.0106 | vf: 0.3147 | ent: 10.926 | time: 15.8s
Update   99 | reward:  -5.345 | pl: 0.0323 | vf: 0.4975 | ent: 10.927 | time: 15.8s
Update  100 | reward:  -6.934 | pl: -0.0300 | vf: 0.2323 | ent: 10.924 | time: 15.8s
Update  101 | reward:  -5.847 | pl: 0.0046 | vf: 0.2393 | ent: 10.923 | time: 16.0s
Update  102 | reward:  -6.896 | pl: -0.0076 | vf: 0.2612 | ent: 10.926 | time: 15.9s
Update  103 | reward:  -4.976 | pl: 0.0203 | vf: 0.4091 | ent: 10.927 | time: 15.9s
Update  104 | reward:  -6.398 | pl: 0.0194 | vf: 0.3300 | ent: 10.930 | time: 15.9s
Update  105 | reward:  -4.364 | pl: 0.0199 | vf: 0.3653 | ent: 10.928 | time: 15.9s
Update  106 | reward:  -5.464 | pl: 0.0228 | vf: 0.3284 | ent: 10.931 | time: 15.9s
Update  107 | reward:  -4.791 | pl: -0.0021 | vf: 0.2364 | ent: 10.924 | time: 15.9s
Update  108 | reward:  -5.540 | pl: 0.0077 | vf: 0.2126 | ent: 10.924 | time: 15.9s
Update  109 | reward:  -7.057 | pl: -0.0049 | vf: 0.2720 | ent: 10.918 | time: 15.8s
Update  110 | reward:  -5.612 | pl: 0.0100 | vf: 0.2394 | ent: 10.919 | time: 15.8s
Update  111 | reward:  -6.690 | pl: 0.0083 | vf: 0.3852 | ent: 10.922 | time: 15.8s
Update  112 | reward:  -5.005 | pl: 0.0025 | vf: 0.2854 | ent: 10.921 | time: 15.9s
Update  113 | reward:  -6.382 | pl: 0.0068 | vf: 0.2786 | ent: 10.923 | time: 15.9s
Update  114 | reward:  -5.375 | pl: -0.0074 | vf: 0.2558 | ent: 10.919 | time: 15.9s
Update  115 | reward:  -6.061 | pl: -0.0104 | vf: 0.1884 | ent: 10.923 | time: 15.8s
Update  116 | reward:  -5.042 | pl: 0.0009 | vf: 0.2418 | ent: 10.917 | time: 15.8s
Update  117 | reward:  -6.173 | pl: 0.0053 | vf: 0.2355 | ent: 10.920 | time: 15.8s
Update  118 | reward:  -6.239 | pl: 0.0130 | vf: 0.2032 | ent: 10.915 | time: 15.8s
Update  119 | reward:  -5.905 | pl: -0.0169 | vf: 0.1789 | ent: 10.913 | time: 15.8s
Update  120 | reward:  -6.593 | pl: 0.0112 | vf: 0.2875 | ent: 10.917 | time: 15.8s
Update  121 | reward:  -5.343 | pl: 0.0046 | vf: 0.2037 | ent: 10.915 | time: 15.8s
Update  122 | reward:  -6.290 | pl: 0.0063 | vf: 0.1989 | ent: 10.921 | time: 15.8s
Update  123 | reward:  -5.018 | pl: -0.0089 | vf: 0.1552 | ent: 10.916 | time: 15.8s
Update  124 | reward:  -6.278 | pl: 0.0116 | vf: 0.2769 | ent: 10.922 | time: 15.8s
Update  125 | reward:  -6.763 | pl: -0.0224 | vf: 0.1572 | ent: 10.923 | time: 15.8s
Update  126 | reward:  -6.144 | pl: -0.0067 | vf: 0.1946 | ent: 10.923 | time: 15.9s
Update  127 | reward:  -6.664 | pl: 0.0019 | vf: 0.2140 | ent: 10.924 | time: 15.8s
Update  128 | reward:  -5.892 | pl: -0.0059 | vf: 0.2300 | ent: 10.925 | time: 15.8s
Update  129 | reward:  -6.757 | pl: -0.0009 | vf: 0.1799 | ent: 10.931 | time: 15.8s
Update  130 | reward:  -5.379 | pl: -0.0068 | vf: 0.1935 | ent: 10.926 | time: 15.8s
Update  131 | reward:  -6.343 | pl: 0.0033 | vf: 0.2115 | ent: 10.929 | time: 15.8s
Update  132 | reward:  -4.817 | pl: -0.0003 | vf: 0.1921 | ent: 10.921 | time: 15.8s
Update  133 | reward:  -6.262 | pl: -0.0138 | vf: 0.1419 | ent: 10.924 | time: 15.9s
Update  134 | reward:  -6.738 | pl: -0.0113 | vf: 0.1560 | ent: 10.923 | time: 15.8s
Update  135 | reward:  -5.696 | pl: -0.0042 | vf: 0.1599 | ent: 10.926 | time: 15.8s
Update  136 | reward:  -6.838 | pl: -0.0046 | vf: 0.1845 | ent: 10.929 | time: 15.8s
Update  137 | reward:  -5.386 | pl: -0.0141 | vf: 0.1577 | ent: 10.928 | time: 15.8s
Update  138 | reward:  -6.133 | pl: 0.0035 | vf: 0.2202 | ent: 10.930 | time: 15.9s
Update  139 | reward:  -5.127 | pl: -0.0041 | vf: 0.1751 | ent: 10.921 | time: 15.8s
Update  140 | reward:  -6.304 | pl: -0.0086 | vf: 0.1653 | ent: 10.926 | time: 15.8s
