
Training for 500 updates...
------------------------------------------------------------
Update    0 | reward:     nan | pl: -0.0080 | vf: 9.5027 | ent: 10.960 | time: 16.3s
Update    1 | reward: -48.665 | pl: -0.0014 | vf: 52.8817 | ent: 10.960 | time: 16.1s
Update    2 | reward:     nan | pl: -0.0094 | vf: 44.9827 | ent: 10.960 | time: 16.3s
Update    3 | reward: -14.500 | pl: -0.0040 | vf: 9.6534 | ent: 10.956 | time: 16.6s
Update    4 | reward: -52.624 | pl: -0.0036 | vf: 54.0871 | ent: 10.954 | time: 16.6s
Update    5 | reward:     nan | pl: -0.0002 | vf: 28.6002 | ent: 10.950 | time: 16.7s
Update    6 | reward: -26.129 | pl: -0.0122 | vf: 20.1942 | ent: 10.949 | time: 16.6s
Update    7 | reward: -58.984 | pl: 0.0046 | vf: 60.8259 | ent: 10.944 | time: 16.6s
Update    8 | reward:     nan | pl: -0.0068 | vf: 18.4716 | ent: 10.943 | time: 16.6s
Update    9 | reward: -35.496 | pl: -0.0018 | vf: 30.5052 | ent: 10.947 | time: 16.6s
Update   10 | reward: -62.532 | pl: -0.0002 | vf: 60.7151 | ent: 10.947 | time: 16.6s
Update   11 | reward:     nan | pl: -0.0110 | vf: 11.0195 | ent: 10.946 | time: 16.6s
Update   12 | reward: -44.898 | pl: -0.0010 | vf: 42.1487 | ent: 10.943 | time: 16.6s
Update   13 | reward:     nan | pl: -0.0016 | vf: 53.2020 | ent: 10.941 | time: 16.6s
Update   14 | reward:  -6.357 | pl: -0.0067 | vf: 5.8309 | ent: 10.943 | time: 16.7s
Update   15 | reward: -51.671 | pl: -0.0018 | vf: 48.4555 | ent: 10.948 | time: 16.6s
Update   16 | reward:     nan | pl: -0.0081 | vf: 34.0754 | ent: 10.942 | time: 16.6s
Update   17 | reward: -19.877 | pl: -0.0128 | vf: 9.8100 | ent: 10.947 | time: 16.6s
Update   18 | reward: -55.535 | pl: -0.0061 | vf: 48.6182 | ent: 10.952 | time: 16.6s
Update   19 | reward:     nan | pl: -0.0035 | vf: 20.0923 | ent: 10.951 | time: 16.5s
Update   20 | reward: -31.422 | pl: -0.0050 | vf: 20.4312 | ent: 10.957 | time: 16.5s
Update   21 | reward: -59.744 | pl: -0.0033 | vf: 49.3156 | ent: 10.956 | time: 16.5s
Update   22 | reward:     nan | pl: -0.0085 | vf: 12.0534 | ent: 10.958 | time: 16.5s
Update   23 | reward: -39.909 | pl: -0.0018 | vf: 28.8450 | ent: 10.961 | time: 16.5s
Update   24 | reward: -62.866 | pl: -0.0022 | vf: 48.1379 | ent: 10.958 | time: 16.4s
Update   25 | reward:     nan | pl: -0.0056 | vf: 5.8951 | ent: 10.962 | time: 16.5s
Update   26 | reward: -46.989 | pl: -0.0062 | vf: 35.3726 | ent: 10.963 | time: 16.4s
Update   27 | reward:     nan | pl: -0.0004 | vf: 35.8003 | ent: 10.961 | time: 16.4s
Update   28 | reward: -14.220 | pl: 0.0012 | vf: 4.8826 | ent: 10.965 | time: 16.4s
Update   29 | reward: -52.229 | pl: 0.0001 | vf: 38.7816 | ent: 10.964 | time: 16.4s
Update   30 | reward:     nan | pl: -0.0010 | vf: 19.6691 | ent: 10.962 | time: 16.4s
Update   31 | reward: -25.517 | pl: -0.0017 | vf: 11.3935 | ent: 10.966 | time: 16.4s
Update   32 | reward: -57.518 | pl: -0.0028 | vf: 41.7385 | ent: 10.963 | time: 16.3s
Update   33 | reward:     nan | pl: -0.0027 | vf: 12.4567 | ent: 10.962 | time: 16.3s
Update   34 | reward: -35.023 | pl: -0.0050 | vf: 20.9647 | ent: 10.964 | time: 16.3s
Update   35 | reward: -61.461 | pl: -0.0018 | vf: 40.9996 | ent: 10.961 | time: 16.3s
Update   36 | reward:     nan | pl: -0.0018 | vf: 6.4147 | ent: 10.962 | time: 16.4s
Update   37 | reward: -42.678 | pl: -0.0147 | vf: 28.6994 | ent: 10.960 | time: 16.4s
Update   38 | reward:     nan | pl: -0.0025 | vf: 39.8751 | ent: 10.955 | time: 16.4s
Update   39 | reward:  -6.891 | pl: -0.0172 | vf: 10.5109 | ent: 10.961 | time: 16.4s
Update   40 | reward: -50.687 | pl: 0.0063 | vf: 37.3119 | ent: 10.960 | time: 16.3s
Update   41 | reward:     nan | pl: 0.0016 | vf: 19.0493 | ent: 10.957 | time: 16.3s
Update   42 | reward: -18.897 | pl: -0.0070 | vf: 14.1895 | ent: 10.963 | time: 16.3s
