
Training for 500 updates...
------------------------------------------------------------
Update    0 | reward:     nan | pl: -0.0123 | vf: 0.0278 | ent: 10.960 | time: 17.2s
Update    1 | reward:  -0.500 | pl: -0.0088 | vf: 0.0452 | ent: 10.960 | time: 16.8s
Update    2 | reward:     nan | pl: 0.0005 | vf: 0.0267 | ent: 10.958 | time: 16.6s
Update    3 | reward:  -0.800 | pl: -0.0021 | vf: 0.0384 | ent: 10.958 | time: 16.6s
Update    4 | reward:   0.033 | pl: -0.0024 | vf: 0.0375 | ent: 10.958 | time: 16.6s
Update    5 | reward:     nan | pl: -0.0139 | vf: 0.0249 | ent: 10.958 | time: 16.7s
Update    6 | reward:  -1.033 | pl: -0.0146 | vf: 0.0613 | ent: 10.954 | time: 16.6s
Update    7 | reward:  -0.033 | pl: -0.0088 | vf: 0.0438 | ent: 10.953 | time: 16.5s
Update    8 | reward:     nan | pl: -0.0020 | vf: 0.0210 | ent: 10.955 | time: 16.6s
Update    9 | reward:   0.300 | pl: -0.0078 | vf: 0.0597 | ent: 10.959 | time: 16.5s
Update   10 | reward:  -1.600 | pl: -0.0003 | vf: 0.0440 | ent: 10.961 | time: 16.5s
Update   11 | reward:     nan | pl: -0.0065 | vf: 0.0279 | ent: 10.961 | time: 16.5s
Update   12 | reward:  -0.233 | pl: -0.0049 | vf: 0.0288 | ent: 10.957 | time: 16.5s
Update   13 | reward:     nan | pl: -0.0055 | vf: 0.0781 | ent: 10.957 | time: 16.5s
Update   14 | reward:   0.800 | pl: -0.0018 | vf: 0.0507 | ent: 10.958 | time: 16.5s
Update   15 | reward:  -1.033 | pl: -0.0009 | vf: 0.0486 | ent: 10.958 | time: 16.6s
Update   16 | reward:     nan | pl: -0.0024 | vf: 0.0415 | ent: 10.958 | time: 16.6s
Update   17 | reward:  -0.000 | pl: -0.0083 | vf: 0.0545 | ent: 10.961 | time: 16.6s
Update   18 | reward:   0.033 | pl: -0.0021 | vf: 0.0299 | ent: 10.963 | time: 16.7s
Update   19 | reward:     nan | pl: -0.0024 | vf: 0.0286 | ent: 10.962 | time: 16.5s
Update   20 | reward:  -0.767 | pl: -0.0068 | vf: 0.0416 | ent: 10.964 | time: 16.5s
Update   21 | reward:   0.267 | pl: -0.0016 | vf: 0.0677 | ent: 10.964 | time: 16.5s
Update   22 | reward:     nan | pl: -0.0029 | vf: 0.0309 | ent: 10.963 | time: 16.5s
Update   23 | reward:  -0.500 | pl: -0.0033 | vf: 0.0293 | ent: 10.964 | time: 16.5s
Update   24 | reward:  -1.333 | pl: -0.0043 | vf: 0.0564 | ent: 10.964 | time: 16.4s
Update   25 | reward:     nan | pl: -0.0037 | vf: 0.0166 | ent: 10.964 | time: 16.4s
Update   26 | reward:   0.033 | pl: -0.0052 | vf: 0.0528 | ent: 10.964 | time: 16.3s
Update   27 | reward:     nan | pl: -0.0041 | vf: 0.0382 | ent: 10.966 | time: 16.4s
Update   28 | reward:  -0.800 | pl: -0.0027 | vf: 0.0291 | ent: 10.966 | time: 16.3s
Update   29 | reward:   0.033 | pl: -0.0034 | vf: 0.0330 | ent: 10.967 | time: 16.4s
Update   30 | reward:     nan | pl: -0.0050 | vf: 0.0217 | ent: 10.968 | time: 16.3s
Update   31 | reward:  -0.767 | pl: -0.0020 | vf: 0.0386 | ent: 10.969 | time: 16.3s
Update   32 | reward:  -0.000 | pl: -0.0040 | vf: 0.0669 | ent: 10.969 | time: 16.3s
Update   33 | reward:     nan | pl: -0.0053 | vf: 0.0311 | ent: 10.967 | time: 16.3s
Update   34 | reward:  -0.233 | pl: -0.0051 | vf: 0.0296 | ent: 10.967 | time: 16.4s
Update   35 | reward:  -1.600 | pl: -0.0016 | vf: 0.0562 | ent: 10.968 | time: 16.3s
Update   36 | reward:     nan | pl: -0.0170 | vf: 0.0234 | ent: 10.967 | time: 16.3s
Update   37 | reward:  -0.500 | pl: -0.0060 | vf: 0.0350 | ent: 10.963 | time: 16.3s
Update   38 | reward:     nan | pl: -0.0011 | vf: 0.0487 | ent: 10.962 | time: 16.2s
Update   39 | reward:   0.800 | pl: -0.0040 | vf: 0.0494 | ent: 10.962 | time: 16.3s
Update   40 | reward:  -0.767 | pl: -0.0067 | vf: 0.0441 | ent: 10.964 | time: 16.2s
Update   41 | reward:     nan | pl: -0.0057 | vf: 0.0317 | ent: 10.965 | time: 16.3s
Update   42 | reward:  -1.067 | pl: -0.0041 | vf: 0.0479 | ent: 10.966 | time: 16.3s
Update   43 | reward:  -0.767 | pl: -0.0079 | vf: 0.0408 | ent: 10.963 | time: 16.3s
Update   44 | reward:     nan | pl: -0.0098 | vf: 0.0186 | ent: 10.961 | time: 16.3s
Update   45 | reward:   0.600 | pl: -0.0019 | vf: 0.0530 | ent: 10.959 | time: 16.3s
Update   46 | reward:  -0.800 | pl: -0.0035 | vf: 0.0438 | ent: 10.959 | time: 16.3s
Update   47 | reward:     nan | pl: -0.0078 | vf: 0.0132 | ent: 10.960 | time: 16.3s
Update   48 | reward:   0.033 | pl: -0.0051 | vf: 0.0145 | ent: 10.964 | time: 16.3s
Update   49 | reward:  -1.600 | pl: -0.0024 | vf: 0.0606 | ent: 10.963 | time: 16.7s
Update   50 | reward:     nan | pl: -0.0044 | vf: 0.0147 | ent: 10.963 | time: 16.8s
Update   51 | reward:   0.033 | pl: -0.0004 | vf: 0.0535 | ent: 10.964 | time: 16.8s
Update   52 | reward:     nan | pl: -0.0050 | vf: 0.0309 | ent: 10.964 | time: 16.7s
Update   53 | reward:  -1.067 | pl: -0.0034 | vf: 0.0353 | ent: 10.966 | time: 16.8s
Update   54 | reward:   0.033 | pl: -0.0036 | vf: 0.0241 | ent: 10.966 | time: 16.8s
Update   55 | reward:     nan | pl: -0.0015 | vf: 0.0254 | ent: 10.965 | time: 16.8s
Update   56 | reward:   0.033 | pl: -0.0056 | vf: 0.0527 | ent: 10.966 | time: 16.7s
Update   57 | reward:  -0.000 | pl: -0.0042 | vf: 0.0466 | ent: 10.964 | time: 16.7s
Update   58 | reward:     nan | pl: -0.0038 | vf: 0.0272 | ent: 10.964 | time: 16.7s
Update   59 | reward:  -0.767 | pl: -0.0036 | vf: 0.0350 | ent: 10.967 | time: 16.7s
Update   60 | reward:  -0.533 | pl: -0.0124 | vf: 0.0543 | ent: 10.965 | time: 16.6s
Update   61 | reward:     nan | pl: -0.0097 | vf: 0.0159 | ent: 10.963 | time: 16.7s
Update   62 | reward:  -0.500 | pl: -0.0019 | vf: 0.0357 | ent: 10.962 | time: 16.6s
Update   63 | reward:     nan | pl: -0.0019 | vf: 0.0718 | ent: 10.959 | time: 16.6s
Update   64 | reward:  -0.033 | pl: -0.0049 | vf: 0.0147 | ent: 10.961 | time: 16.5s
Update   65 | reward:  -1.033 | pl: -0.0141 | vf: 0.0469 | ent: 10.962 | time: 16.3s
Update   66 | reward:     nan | pl: -0.0013 | vf: 0.0130 | ent: 10.961 | time: 16.3s
Update   67 | reward:  -0.000 | pl: -0.0081 | vf: 0.0486 | ent: 10.962 | time: 16.2s
Update   68 | reward:  -0.233 | pl: -0.0030 | vf: 0.0125 | ent: 10.961 | time: 16.3s
